tau_m,tau_s,tau_plus,tau_minus,a_minus,a_plus,CFI0,CF01,CFI1,alpha,TH0,TH1,fitness
5.505865102639297e-10,7.667155425219942e-10,1.6147214076246335e-09,7.377983056370155e-09,2.6817032258064513e-05,0.0001337701612903226,0.5653958944281525,0.3727272727272728,0.8653958944281525,0.3639296187683285,0.72316715542522,0.5549120234604106,-0.278355
6.055718475073314e-10,1.0747800586510264e-10,6.442873900293255e-09,6.2008439231019885e-09,5.766090322580645e-05,9.687500000000001e-05,0.5759530791788856,0.40263929618768324,0.8337243401759531,0.18093841642228742,0.7119501466275661,0.5337976539589443,0.2
4.846041055718475e-10,1.6378299120234604e-10,3.486862170087977e-09,1.9315184099055067e-09,0.00010212748387096773,0.00028588709677419355,0.5759530791788856,0.9357771260997066,0.8363636363636364,0.3639296187683285,0.8802052785923754,0.5549120234604106,0.88
6.495601173020529e-10,1.8255131964809384e-10,5.112668621700879e-09,1.8261029651352234e-09,0.00011035251612903226,0.00013104838709677421,0.5759530791788856,0.4589442815249267,0.8812316715542522,0.12111436950146628,0.3312316715542522,0.5549120234604106,-0.5361910000000001
3.563049853372434e-10,6.994134897360703e-11,5.1188269794721405e-09,1.9578722710980777e-09,0.00017178322580645159,0.00015372983870967744,0.6102639296187684,0.39032258064516134,0.40263929618768324,0.3498533724340176,0.6690615835777126,0.5549120234604106,-0.26861500000000005
2.141495601173021e-09,1.0834310850439883e-09,8.264516129032258e-10,7.869921798631476e-09,2.5017806451612898e-05,0.00013558467741935486,0.12551319648093842,0.48533724340175954,0.8337243401759531,0.3709677419354839,0.7126099706744868,0.6815982404692082,0
1.646627565982405e-09,1.8255131964809384e-10,5.112668621700879e-09,1.8436722059302704e-09,0.00017615277419354836,0.00013104838709677421,0.5689149560117303,0.4589442815249267,0.6560117302052786,0.12111436950146628,0.4790322580645161,0.5133431085043989,-0.32684
1.551319648093842e-09,7.932551319648095e-11,4.767800586510264e-09,6.183274682306941e-09,5.766090322580645e-05,0.0002988911290322581,0.63841642228739,0.10703812316715543,0.40263929618768324,0.18093841642228742,0.6690615835777126,0.549633431085044,-0.220779
4.846041055718475e-10,5.117302052785924e-11,6.202697947214076e-09,1.7031182795698925e-09,4.9435870967741935e-05,0.00015372983870967744,0.12551319648093842,0.8390029325513196,0.8319648093841643,0.4343108504398827,0.6961143695014663,0.5549120234604106,0.98
3.269794721407625e-10,1.497067448680352e-10,5.1188269794721405e-09,1.9227337895079832e-09,0.0001383690322580645,0.0002722782258064516,0.1598240469208211,0.39384164222873896,0.3991202346041056,0.3709677419354839,0.3305718475073314,0.5549120234604106,-0.906926
5.505865102639297e-10,9.145161290322581e-10,1.2205865102639295e-09,7.377983056370155e-09,2.6817032258064513e-05,0.00013407258064516132,0.5645161290322581,0.3727272727272728,0.8653958944281525,0.47653958944281527,0.7126099706744868,0.5549120234604106,0.98
