Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11
1,2.40137e-08,0.0404897,0.0200798,0.0352367,0.0376573,0.0151423,0.0216032,0.0456168,0.0129675,0.0432782,0.0174926,0.0107016,0.0171126
1,2.41135e-08,0.0392447,0.0242676,0.0363361,0.0378946,0.015032,0.0257108,0.0462255,0.012957,0.0431282,0.0230914,0.0105098,0.0226753
1,2.41907e-08,0.0390005,0.0265178,0.0384954,0.0396062,0.0152194,0.0297473,0.0487455,0.013134,0.0450439,0.0258605,0.0104697,0.0252933
1,2.46652e-08,0.0310637,0.0243885,0.0341652,0.0343481,0.0120487,0.0294766,0.0431289,0.0104631,0.0397635,0.0243223,0.00804207,0.0239278
2,2.51092e-08,0.0248416,0.0273414,0.0304341,0.0288707,0.0102468,0.031139,0.0367923,0.00905468,0.0331917,0.0297647,0.00674226,0.029281
2,2.52979e-08,0.0230436,0.0261643,0.0285524,0.0271838,0.00924539,0.0291838,0.0343715,0.00812707,0.0311215,0.0286269,0.00598457,0.0281232
2,2.54462e-08,0.0210577,0.024631,0.0274456,0.0266787,0.0192983,0.0289567,0.034999,0.0183955,0.0305146,0.0270395,0.0158475,0.0264731
2,2.55442e-08,0.0208084,0.0234218,0.026949,0.0263649,0.0223221,0.0278947,0.0347485,0.0214904,0.0303936,0.0256465,0.0188663,0.0250351
2,2.57419e-08,0.0190983,0.0210941,0.0260216,0.0261824,0.036542,0.0274538,0.0361528,0.0359847,0.030422,0.0230909,0.0327771,0.0223789
2,2.59904e-08,0.0161518,0.0182541,0.0241994,0.0252313,0.0522922,0.0269106,0.0370383,0.0520734,0.0293954,0.0200369,0.0482344,0.0192567
2,2.59933e-08,0.0161507,0.0184294,0.0242812,0.0252864,0.0523689,0.0271088,0.0371354,0.0521507,0.0294435,0.0202613,0.0482989,0.0194779
2,2.67258e-08,0.0110635,0.0297818,0.0235552,0.0214075,0.0379013,0.0361682,0.0324895,0.0377677,0.0233144,0.0359018,0.0342093,0.0351643
2,2.68761e-08,0.01075,0.0266854,0.0214919,0.0196021,0.0332036,0.0320846,0.0293179,0.0330475,0.0215551,0.0321386,0.0298741,0.03145
2,2.70786e-08,0.00977396,0.023219,0.0200684,0.0190293,0.0407115,0.0296843,0.0293105,0.0406964,0.0211759,0.027916,0.0373053,0.0272112
2,2.70925e-08,0.0103288,0.0231381,0.0205017,0.019538,0.0408699,0.0295543,0.0297723,0.0408417,0.0217578,0.0276823,0.0374342,0.0269893
2,2.75672e-08,0.0173202,0.0188575,0.0267729,0.0269013,0.0349748,0.0278746,0.0363304,0.0345454,0.0307087,0.0201727,0.0312626,0.0194144
2,2.82673e-08,0.0115344,0.0203213,0.0205328,0.019174,0.0205513,0.0259072,0.0262455,0.0202248,0.0211818,0.0234054,0.0178226,0.0228431
2,2.84929e-08,0.0109917,0.0172694,0.0179525,0.0168677,0.0167535,0.0214943,0.0230636,0.0164951,0.019272,0.0194988,0.0145024,0.0192793
2,2.8711e-08,0.0108147,0.0234908,0.0197714,0.0175427,0.0152681,0.0271592,0.0244851,0.0150126,0.0196032,0.0275385,0.0128371,0.0273292
2,2.89902e-08,0.0198656,0.0236467,0.0230261,0.0215888,0.0136224,0.0266096,0.0290163,0.0125897,0.0239187,0.0270199,0.0104652,0.0266185
2,2.92205e-08,0.0257699,0.0222695,0.0266511,0.0259556,0.0121025,0.024084,0.0323298,0.010841,0.0288079,0.0240376,0.00875997,0.0237352
2,2.92952e-08,0.0258946,0.0217012,0.0271769,0.0268805,0.018095,0.0243493,0.0340065,0.016911,0.0298931,0.0232324,0.0145407,0.0229015
2,2.96461e-08,0.0247918,0.0188425,0.0293709,0.0298394,0.0267215,0.0269311,0.0390075,0.0256125,0.033851,0.0192217,0.0227052,0.0185545
2,2.98164e-08,0.0305657,0.0176554,0.0310298,0.0322366,0.0260485,0.0256577,0.0417181,0.0244211,0.0365254,0.0172718,0.0215768,0.0164519
2,2.99257e-08,0.0311738,0.0170239,0.0313579,0.0330984,0.0335838,0.0260761,0.043767,0.0319581,0.0375194,0.0165049,0.0287682,0.0156001
2,2.99436e-08,0.0323768,0.0170215,0.0319127,0.0338158,0.0344836,0.0261687,0.0447258,0.0327692,0.0383189,0.0163963,0.0295276,0.0154589
2,3.02745e-08,0.0381497,0.0158114,0.034359,0.0379458,0.0531428,0.0270707,0.0520895,0.0510984,0.0429331,0.0145971,0.0469823,0.0133865
2,3.07524e-08,0.0280449,0.0117618,0.0266888,0.0302008,0.0576263,0.0227513,0.0435648,0.0563089,0.0342229,0.0109567,0.0523342,0.00991922
2,3.08181e-08,0.0275833,0.0117423,0.0274003,0.0307712,0.0558033,0.023877,0.0442421,0.0544747,0.0350364,0.0108043,0.0505168,0.00969278
2,3.09729e-08,0.0266243,0.0186797,0.0308779,0.0327751,0.0518575,0.0320665,0.0471493,0.0505386,0.0370022,0.0195302,0.0463564,0.0182708
2,3.12074e-08,0.0244122,0.0301344,0.0343202,0.0337504,0.0454772,0.0431184,0.0488465,0.0442592,0.0372797,0.0343536,0.0398526,0.0330203
2,3.1371e-08,0.0271803,0.031963,0.0372576,0.0364141,0.0405959,0.0432649,0.0502813,0.0393494,0.0401101,0.0358536,0.0350467,0.0346872
2,3.15151e-08,0.0286109,0.0318672,0.0400088,0.039132,0.0370955,0.044748,0.0529402,0.0357467,0.0434852,0.0350547,0.0314595,0.0338016
2,3.18803e-08,0.0257361,0.0366849,0.0400386,0.0376913,0.0293914,0.0487072,0.0509045,0.0281641,0.0414699,0.041538,0.0240585,0.0403113
2,3.18996e-08,0.0263016,0.0366245,0.0404335,0.0381333,0.029021,0.0484198,0.0511686,0.0277832,0.0419666,0.041319,0.0236902,0.0401184
2,3.19796e-08,0.0327307,0.0365816,0.0437438,0.0420348,0.0279955,0.0475083,0.054897,0.0263651,0.0463248,0.0403575,0.022271,0.0391535
2,3.20001e-08,0.0353579,0.0366293,0.0450031,0.0435378,0.0278556,0.0473514,0.0564901,0.0260417,0.0480002,0.0401079,0.0219336,0.0388767
2,3.22536e-08,0.0592181,0.034934,0.0542819,0.0553456,0.0255691,0.0434294,0.0688981,0.0219658,0.0611855,0.0354913,0.0179423,0.0339818
2,3.23055e-08,0.0634665,0.0344003,0.0556433,0.0571975,0.0251502,0.0425103,0.0708898,0.0212053,0.0632543,0.0344384,0.0172168,0.0328664
2,3.23947e-08,0.0682824,0.0332796,0.0570048,0.0593529,0.0242237,0.0405995,0.0729508,0.0198863,0.0657241,0.0325158,0.0160016,0.0308691
2,3.24268e-08,0.0705371,0.0331372,0.0583011,0.0609268,0.0239585,0.0400636,0.074365,0.0195049,0.0675092,0.0319407,0.0156186,0.0303058
2,3.24318e-08,0.0708426,0.0331353,0.0585357,0.0612214,0.0244427,0.0400884,0.0747217,0.0199796,0.0678458,0.0318824,0.0160653,0.0302454
2,3.28109e-08,0.0688919,0.0286306,0.0583339,0.0630706,0.0516469,0.0379153,0.0790503,0.0477924,0.0703314,0.0260137,0.0427526,0.0244452
2,3.29862e-08,0.0654697,0.0287389,0.0561932,0.0617389,0.0499342,0.0376502,0.0789056,0.0461584,0.0692226,0.02414,0.04127,0.0225788
2,3.29903e-08,0.0653803,0.0290162,0.0562512,0.061756,0.0499022,0.0379231,0.0789779,0.0461305,0.0692271,0.0244732,0.0412321,0.0229099
2,3.33791e-08,0.0525023,0.0448242,0.0542702,0.0558072,0.0421776,0.0524793,0.0741644,0.0391392,0.0613421,0.0457549,0.034078,0.0442329
2,3.33833e-08,0.0524049,0.0448239,0.0542888,0.0558078,0.0420883,0.0525785,0.0741792,0.0390532,0.0613544,0.04576,0.0339916,0.0442326
2,3.37033e-08,0.0454762,0.0408875,0.0539189,0.0546609,0.0351364,0.0555069,0.0731319,0.0323466,0.06117,0.041407,0.0274675,0.0395427
2,3.38233e-08,0.0424664,0.0440364,0.0535151,0.0531733,0.0330443,0.0587469,0.071619,0.0304365,0.0592265,0.0460952,0.0255329,0.0442295
2,3.38264e-08,0.0424977,0.0441674,0.0535898,0.0532586,0.0330419,0.0588854,0.0717682,0.0304287,0.0593254,0.0461974,0.0255187,0.0443281
