Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11,V(t)_12,V(t)_13,V(t)_14,V(t)_15,V(t)_16,V(t)_17,V(t)_18,V(t)_19
2,3.41809e-08,0.232293,0.195854,0.177638,0.202532,0.299025,0.086863,0.229215,0.201942,0.360831,0.224596,0.114287,0.0808448,0.174985,0.0801471,0.104291,0.0698052,0.120846,0.0892009,0.12353,0.087226
2,3.42187e-08,0.221491,0.182262,0.176256,0.20277,0.283255,0.0806786,0.239931,0.192058,0.338303,0.208992,0.111531,0.0799146,0.162795,0.0748805,0.0971999,0.072563,0.116961,0.0855484,0.118321,0.0921274
2,3.42566e-08,0.209874,0.169482,0.171925,0.199072,0.267059,0.0749064,0.242638,0.18152,0.316431,0.194325,0.10752,0.0777557,0.151346,0.0698106,0.0904451,0.0730701,0.120144,0.0851635,0.112511,0.0995879
2,3.42944e-08,0.197921,0.157501,0.165705,0.192748,0.250881,0.0695265,0.239919,0.170927,0.295425,0.180579,0.102725,0.0747963,0.140622,0.0687738,0.0841311,0.0720259,0.120036,0.0925007,0.106389,0.102801
2,3.43323e-08,0.185965,0.146296,0.158289,0.184746,0.235022,0.0692436,0.233488,0.160303,0.275412,0.167725,0.097485,0.0713451,0.130599,0.0729463,0.0782044,0.0699391,0.117677,0.0957646,0.101454,0.103044
2,3.43701e-08,0.174235,0.135835,0.150196,0.175747,0.219547,0.0682324,0.224636,0.150058,0.25646,0.155728,0.0920394,0.0675976,0.121247,0.0744476,0.0726559,0.067178,0.11382,0.0961765,0.0994714,0.101249
2,3.4408e-08,0.162883,0.126084,0.141792,0.16615,0.204869,0.0662087,0.214296,0.140184,0.238596,0.153262,0.086557,0.0637621,0.112533,0.0740581,0.067472,0.0640076,0.108892,0.0946271,0.0961513,0.0980908
2,3.44458e-08,0.152823,0.116904,0.133263,0.156477,0.190915,0.0635854,0.203133,0.130751,0.221816,0.162906,0.0811028,0.0641493,0.104422,0.0723811,0.0704997,0.060581,0.103531,0.0917639,0.0920966,0.0940358
2,3.44837e-08,0.169166,0.108327,0.124938,0.152806,0.182127,0.0605777,0.191619,0.1218,0.205875,0.166504,0.0758602,0.0711137,0.0966903,0.0698541,0.0759642,0.0570493,0.097887,0.0880513,0.0875656,0.0894385
2,3.45026e-08,0.17402,0.104342,0.120866,0.157589,0.178766,0.0589897,0.185845,0.117517,0.198422,0.166594,0.0733174,0.0731896,0.0931311,0.0683362,0.0774307,0.0553147,0.0950268,0.0859922,0.0851039,0.0870541
2,3.45215e-08,0.177132,0.109102,0.116866,0.160729,0.175053,0.0573681,0.18001,0.11336,0.19122,0.165801,0.0708308,0.074527,0.0897001,0.0667584,0.078191,0.0535909,0.0921645,0.08384,0.0827068,0.0846271
2,3.45404e-08,0.178786,0.121949,0.112946,0.162491,0.171068,0.0557271,0.174319,0.109329,0.184262,0.164282,0.0684038,0.0752073,0.086393,0.0651048,0.0784639,0.051885,0.0893154,0.0816221,0.080292,0.0821776
2,3.45593e-08,0.17916,0.131948,0.109114,0.162897,0.166879,0.0540786,0.1687,0.113353,0.177544,0.162169,0.0660386,0.0754124,0.0832058,0.0633971,0.0782815,0.0502028,0.0864921,0.0793612,0.0778752,0.0797222
2,3.45782e-08,0.178504,0.139539,0.105374,0.162548,0.162543,0.0524326,0.16317,0.119276,0.171058,0.159576,0.0637371,0.0751896,0.0820933,0.0616535,0.0777229,0.0485489,0.0837047,0.0770766,0.0754691,0.0772747
2,3.45971e-08,0.177108,0.145096,0.101729,0.161426,0.158107,0.0507971,0.157744,0.123558,0.164799,0.156598,0.0615001,0.0746138,0.0834432,0.0598893,0.076856,0.0469272,0.0809617,0.0747842,0.0730846,0.0748464
2,3.4616e-08,0.175031,0.14894,0.0981826,0.159657,0.153548,0.0491788,0.152431,0.126265,0.15876,0.153192,0.0593282,0.0737488,0.0841263,0.0580733,0.0757383,0.0453405,0.0782696,0.0724097,0.0707303,0.0724167
2,3.46349e-08,0.1724,0.151348,0.0947358,0.157362,0.148783,0.0475832,0.147239,0.128015,0.160744,0.149684,0.0571756,0.0726488,0.0842538,0.0563054,0.0744188,0.043791,0.0756337,0.0701426,0.0684133,0.0700543
2,3.46538e-08,0.169325,0.152553,0.0913894,0.154642,0.144277,0.0460147,0.142086,0.128774,0.164254,0.146001,0.0551356,0.0713601,0.0839208,0.0545489,0.0729392,0.0422805,0.0729835,0.0679007,0.0661392,0.0677341
2,3.46727e-08,0.16582,0.152756,0.0881436,0.151497,0.139796,0.0444769,0.137157,0.128752,0.166304,0.142192,0.0531599,0.0699219,0.0832083,0.052811,0.0712631,0.0408099,0.0703966,0.0656304,0.0639125,0.0654608
2,3.46916e-08,0.162123,0.152129,0.0849979,0.148181,0.135358,0.0429723,0.132363,0.128064,0.167136,0.13816,0.0512477,0.068288,0.0821854,0.0510974,0.0695662,0.0393802,0.0679552,0.0634619,0.0617365,0.0632383
2,3.46962e-08,0.161173,0.151863,0.0842343,0.147327,0.134268,0.0426051,0.131197,0.127805,0.167178,0.137188,0.0507839,0.0678892,0.0818911,0.0506774,0.0691343,0.0390325,0.0673608,0.0629314,0.0612058,0.0626961
2,3.47009e-08,0.160211,0.151557,0.0834767,0.146461,0.133182,0.0422401,0.13004,0.127514,0.167161,0.136214,0.0503238,0.0674853,0.0815822,0.0502592,0.0686985,0.0386873,0.0667706,0.0624036,0.0606783,0.0621572
2,3.47056e-08,0.159238,0.151213,0.0827251,0.145585,0.132099,0.0418773,0.12889,0.127192,0.167087,0.135237,0.0498676,0.0670768,0.0812596,0.0498429,0.068259,0.0383447,0.0661844,0.0618785,0.0601542,0.0616216
2,3.47103e-08,0.158256,0.150833,0.0819796,0.144699,0.131021,0.0415167,0.127749,0.126842,0.16696,0.134259,0.0494151,0.0666441,0.0809238,0.0494286,0.0678163,0.0380046,0.0656024,0.0613563,0.0596335,0.0610894
2,3.4715e-08,0.157264,0.150419,0.0812401,0.143804,0.129948,0.0411585,0.126617,0.126464,0.166781,0.13328,0.0489664,0.0662275,0.0805757,0.0490163,0.0673706,0.037667,0.0650246,0.0608369,0.0591162,0.0605607
2,3.47197e-08,0.156263,0.149972,0.0805066,0.142901,0.128878,0.0408025,0.125493,0.12606,0.166553,0.1323,0.0485215,0.0658073,0.0802158,0.0486061,0.0669222,0.0373319,0.0644509,0.0603204,0.0586023,0.0600354
2,3.47243e-08,0.155255,0.149394,0.0797791,0.14199,0.127814,0.0404488,0.124377,0.125632,0.166279,0.131319,0.0480803,0.0653838,0.079845,0.0481979,0.0664714,0.0369631,0.0638813,0.059807,0.0580918,0.0595135
2,3.4729e-08,0.15424,0.148888,0.0790575,0.141072,0.126704,0.0400974,0.12327,0.12518,0.16596,0.130318,0.0476428,0.0649572,0.0794638,0.0477366,0.0660184,0.0366335,0.0632949,0.0592965,0.0575847,0.0589951
2,3.47337e-08,0.153218,0.148354,0.0783419,0.140147,0.12565,0.0397484,0.122171,0.124705,0.165599,0.129338,0.047209,0.0645279,0.0790728,0.0473334,0.0655636,0.0363064,0.0627339,0.058789,0.0570181,0.0584802
2,3.47384e-08,0.15219,0.147794,0.0776321,0.139217,0.124601,0.0394018,0.12108,0.12421,0.165198,0.128358,0.0467788,0.0640962,0.0786726,0.0469324,0.0651071,0.0359818,0.0621771,0.0582846,0.0565186,0.0579689
2,3.47431e-08,0.151158,0.147209,0.0769282,0.138282,0.123558,0.0390574,0.119998,0.123695,0.164759,0.127379,0.0463523,0.0636622,0.0782638,0.0465336,0.0646491,0.0356597,0.0616244,0.0577833,0.0560226,0.0574611
